name,venueprofile,tender,location_id,,,,,,
Travis H,testprofile,NO,3,,,,,,
G Mark ,testprofile,NO,3,,,,,,
NYCBomb,testprofile,NO,3,,,,,,
CramerCramer,testprofile,NO,3,,,,,,
George O,testprofile,NO,3,,,,,,
Seung Kim,testprofile,NO,3,,,,,,
Chris Y,testprofile,NO,3,,,,,,
Davis,testprofile,NO,3,,,,,,
Lakerman,testprofile,NO,3,,,,,,
Alden A,testprofile,NO,3,,,,,,
cragiz,testprofile,NO,3,,,,,,
loulou,testprofile,NO,3,,,,,,
RepDeez,testprofile,NO,3,,,,,,
Gravito,testprofile,NO,3,,,,,,
JOLLLL,testprofile,NO,3,,,,,,
mike mike,testprofile,NO,3,,,,,,
gotham,testprofile,NO,3,,,,,,
Noah Bones,testprofile,NO,3,,,,,,
William J. Shepard,testprofile,NO,3,,,,,,
Nehru Levy,testprofile,NO,3,,,,,,
Lamar Contreras,testprofile,NO,3,,,,,,
Howard Clark,testprofile,NO,3,,,,,,
Cameron Rocha,testprofile,NO,3,,,,,,
Taylor Hebert,testprofile,NO,3,,,,,,
Tyler Morales,testprofile,NO,3,,,,,,
Leonard Walsh,testprofile,NO,3,,,,,,
Chase Malone,testprofile,NO,3,,,,,,
Hayes Joseph,testprofile,NO,3,,,,,,
Otto Montoya,testprofile,NO,3,,,,,,
Elliott Burris,testprofile,NO,3,,,,,,
Ori Melendez,testprofile,NO,3,,,,,,
Aladdin Mejia,testprofile,NO,3,,,,,,
Troy Cote,testprofile,NO,3,,,,,,
Kennedy Erickson,testprofile,NO,3,,,,,,
Levi Good,testprofile,NO,3,,,,,,
Shad Potts,testprofile,NO,3,,,,,,
Justin Carter,testprofile,NO,3,,,,,,
Signe Cooley,testprofile,NO,3,,,,,,
Dante Webb,testprofile,NO,3,,,,,,
Griffith Lane,testprofile,NO,3,,,,,,
Carter Matthews,testprofile,NO,3,,,,,,
Nigel Black,testprofile,NO,3,,,,,,
Courtney Park,testprofile,NO,3,,,,,,
Bruno Vang,testprofile,NO,3,,,,,,
OmarW,testprofile,NO,3,,,,,,
ColtS,testprofile,NO,3,,,,,,
HuT,testprofile,NO,3,,,,,,
QuinlanY,testprofile,NO,3,,,,,,
OraV,testprofile,NO,3,,,,,,
RavenS,testprofile,NO,3,,,,,,
PhillipU,testprofile,NO,3,,,,,,
HakeemQ,testprofile,NO,3,,,,,,
IvorY,testprofile,NO,3,,,,,,
LawrenceQ,testprofile,NO,3,,,,,,
ValentineG,testprofile,NO,3,,,,,,
ThaneR,testprofile,NO,3,,,,,,
EvanC,testprofile,NO,3,,,,,,
BradleyC,testprofile,NO,3,,,,,,
ShaineW,testprofile,NO,3,,,,,,
DennisO,testprofile,NO,3,,,,,,
BenjaminS,testprofile,NO,3,,,,,,
LewisS,testprofile,NO,3,,,,,,
WarrenK,testprofile,NO,3,,,,,,
BrennanX,testprofile,NO,3,,,,,,
RothK,testprofile,NO,3,,,,,,
GeorgeI,testprofile,NO,3,,,,,,
RussellF,testprofile,NO,3,,,,,,
JinE,testprofile,NO,3,,,,,,
PorterI,testprofile,NO,3,,,,,,
KareemT,testprofile,NO,3,,,,,,
Freeman.Hintz,testprofile,NO,3,,,,,,
Lafayette,testprofile,NO,3,,,,,,
Coty,testprofile,NO,3,,,,,,
Cicero,testprofile,NO,3,,,,,,
Francis.Mann,testprofile,NO,3,,,,,,
Geovany.Lindgren,testprofile,NO,3,,,,,,
Anderson,testprofile,NO,3,,,,,,
Rusty Auer,testprofile,NO,3,,,,,,
Zander Bechtelar,testprofile,YES,3,,,,,,
Alfred,testprofile,YES,3,,,,,,
Valentine,testprofile,YES,3,,,,,,
Collin.Lakin,testprofile,YES,3,,,,,,
Demetris,testprofile,YES,3,,,,,,
Adolphus,testprofile,YES,3,,,,,,
Garth,testprofile,YES,3,,,,,,
Estevan Schulist,testprofile,YES,3,,,,,,
Clifford Little,testprofile,YES,3,,,,,,
Lempi,testprofile,YES,3,,,,,,
Ahmad,testprofile,YES,3,,,,,,
Hester Gleason,testprofile,YES,3,,,,,,
Curtis Bayer,testprofile,YES,3,,,,,,
Carroll,testprofile,YES,3,,,,,,
Edmund Ritchie,testprofile,YES,3,,,,,,
Harvey.Cronin,testprofile,YES,3,,,,,,
Alberto,testprofile,YES,3,,,,,,
Santos,testprofile,YES,3,,,,,,
Brendan Kozey,testprofile,YES,3,,,,,,
Vicente,testprofile,YES,3,,,,,,
newmannn,testprofile,YES,3,,,,,,
SMAHS,testprofile,YES,3,,,,,,
Travis H,testprofile,NO,3,,,,,,
G Mark ,testprofile,NO,3,,,,,,
